modification,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
AID 1. byte,575865877,523673968,526208845,555505446,592114174,829584840,544938268,550062216,529392864,533051491,540877324,549826730,570105551,545333626,533756383,553292777,530337164,531908997,532693875,577803236,567590386,543447696,542097746,544577399,553785549,538544366,544397802,538754961,540858166,532666399,536443503,538518363,551936860,560270354,546690221,528599134,558732893,546213128,576412473,524273392,541547943,548730619,555627174,539493874,541075773,534800552,529484790,543521442,538553119,547320494
AID 2. byte,552945343,547898156,537998459,557199535,555087042,545218978,531238280,525146941,555196584,544529346,531037378,519674735,570644035,547251241,535944105,542846453,546295528,562682445,565805549,558024187,546103868,561587840,532977230,562310667,566473639,554126919,557296231,560402907,649704021,582419064,629843820,630894742,568273933,573695573,573508430,583684866,642033623,622592002,553040581,566550661,616460902,602425574,672033992,583979992,557409999,577717158,589480239,619029737,595561463,612733821
AID 3. byte,627446330,642529100,580908615,622923136,568629838,579180200,587039367,602625939,651911538,621640748,609071292,599319636,590212118,652196127,637292789,626908448,584822305,639227832,603860732,623376899,595922436,581657995,564315413,572766191,604540456,584044736,574402345,580093902,584666568,590994285,580984146,560182452,549212765,548396352,549875285,553294265,532775138,547211255,536892494,526758753,539813635,573340672,557972792,558299494,564763780,576413615,667457184,656305107,628432374,633546731
AID 4. byte,619604218,652910611,612252915,590656785,588585855,576914413,637242351,593426640,599435835,585095126,621202705,559309343,537471497,566368509,528623860,651382347,572666564,554249040,576613102,535909640,531550021,558415515,532562127,561617444,570039243,553625934,572492403,525116902,538091524,568573751,535673286,542837120,553359124,541957130,562379033,536247832,540131737,554570040,528288989,530146367,553330429,517627187,575351439,545220578,529325141,553108235,539734304,549470381,550912390,551422707
AID 5. byte,641550283,704987892,646218203,555483952,541495749,535621083,546268837,542712316,527499178,550228816,549594991,548433945,541614378,572747315,545012935,563185397,531506216,554240925,551340063,546796820,554672843,538060305,532236944,599720481,638279884,589462516,554535544,544588602,559620373,542178104,536837215,534566395,529982687,625460404,606932502,537063918,540253577,533901505,542385922,531425924,566268111,550042254,543000862,553418954,540415123,548096181,522454548,544045670,529121294,534696573
AID 6. byte,561854316,543378078,543959024,540160807,546057962,543276975,541861134,541404710,545132724,551874735,565410206,551772977,534310674,533421039,547022813,552058907,536790676,541520058,571053717,538800752,545499108,557942286,544291183,538932002,532707209,543633200,525752768,542756391,557541672,517873549,566686611,583523749,530024788,551777735,565855356,536512818,547737965,621635001,551664171,538087595,541450743,536226578,529077253,552907311,519270737,524932512,535628158,551701716,529558454,539953352
AID 7. byte,553803865,577487563,559448297,534817901,558744582,585641874,532164430,541139009,541958470,526938533,536924625,549627080,568250463,541765351,524530786,530088726,533414248,565437231,579016244,537001218,537850418,572055983,546937365,550745749,535134646,545255229,552132084,549709123,536763587,543385340,532904134,539517969,548968792,541311798,538542467,548655673,544348059,543355848,546922862,549359106,559324696,596074060,621061781,547595891,532296685,538002124,532027224,535457805,567316342,540413759
Major version,544472161,542556737,538891199,536455852,536312901,523884334,532603144,549576116,533450736,556056936,541862640,555018017,553852549,567808517,548833618,525554171,560665646,533210324,544067500,533763642,544426006,539148271,534446964,546025847,529451177,535903320,538322009,535311488,537821515,529053356,542920901,526573114,525728460,527995942,529007807,530447753,564868376,560874829,555741590,531285890,547316782,552224036,571900376,529637073,542295872,553307349,546241548,546495118,540109395,537201474
Minor version,566435531,532151636,532660218,549081504,542708373,506235996,516264843,535771635,549790986,537264793,540496445,546772359,518760989,536979624,536582577,568631678,575928513,543089498,545557893,528474199,536167510,545860181,528110140,537678601,526925327,547808324,534805490,539267073,536336431,535671801,522036681,530537724,532485138,546876205,528944530,550781826,552584510,532341715,524044107,563982941,525883794,533965324,529944999,548471526,542973160,554765280,545140430,557330289,535821850,542274462
Unchanged,1102380221,1080734278,1107860517,1116793406,1099289437,1094222946,1108713675,1107188438,1099593829,1103976149,1116908815,1100559523,1095274479,1113503871,1101023482,1091946844,1128958465,1136235345,1117824433,1088351125,1123530440,1110791835,1122499448,1123909765,1119988891,1101881849,1112478242,1109226681,1097178620,1102546330,1107734756,1115122526,1111488942,1111089994,1099186240,1111355918,1096627027,1100669375,1096973313,1094863714,1085989047,1112642404,1097735406,1112711251,1106611771,1108049219,1101045001,1102703249,1098549304,1126060117
